title,description,url,email,social,tags,region,city
The COVID Tracking Project,"The COVID Tracking Project collects information from 50 US states, the District of Columbia, and 5 other US territories to provide the most comprehensive testing data we can collect for the novel coronavirus, SARS-CoV-2. We attempt to include positive and negative results, pending tests, and total people tested for each state or district currently reporting that data.",https://covidtracking.com/,,,"Tracking and Tracing,Digital Applications",National,
Open Collective Fiscal Sponsorhip,"For the next 3 months (till the end of June), we are removing our 5% fiscal sponsorship fee. Open Collective is also removing their 5% platform fee during this crisis. So it will be free for all those collectives to receive and disburse money.",https://opencollective.com/foundation/updates/we-are-offering-free-fiscal-sponsorship-for-covid19-related-collectives,,,"Community Orgs,Treatment and Prevention",National,
Covid Act Now,,http://covidactnow.org,jonathan@covidactnow.org,,"Epidemiology and Data,Policy Proposals",National,
Masks for Docs,,https://masksfordocs.com/,,https://twitter.com/MasksForDocs,"Mutual Aid,Community Orgs,Volunteer Opportunities",National,
Project N95,Rapid response teams have been coordinating with manufacturers globally with the capacity to produce millions of NIOSH-approved N95 masks and other critical medical equipment.,https://www.projectn95.com/,info@projectn95.com,,"Mutual Aid,Community Orgs",National,
US Digital Response,"If you work in government, and need top-notch, vetted help to get through the COVID-19 crisis, you’re in the right place. Just fill out this intake form and we’ll figure out the rest.",https://www.usdigitalresponse.org/,info@usdigitalresponse.org,,"Digital Applications,Governmental Orgs,Volunteer Opportunities",National,
Coronavirus.gov,Official clearing house for coronavirus news and alerts.,https://www.coronavirus.gov/,,,Governmental Orgs,National,
East Oakland Collective,The East Oakland Collective provides food and other direct aid to some of our most vulnerable populations.,http://www.eastoaklandcollective.com/,,https://twitter.com/eoakcollective,"Mutual Aid,Treatment and Prevention,Financial Relief,Volunteer Opportunities",California,Oakland
Peoples Breakfast Oakland,"Peoples Breakfast Oakland provides mutual aid in the form of food, shelter, clothing and other advocacy for unhoused folks in West Oakland.",https://linktr.ee/PBO,,https://twitter.com/peoplesbreakoak,"Mutual Aid,Financial Relief,Volunteer Opportunities",California,Oakland
PopCare,"Popcare intends to provide a basic income of $1,000 per month to teachers, students, and workers who have been laid off due to COVID-19.",https://popcare.co/,,https://twitter.com/pophirehq,"Digital Applications,Financial Relief,Mutual Aid",National,
Phat Beets Produce CSA,Phat Beets Produce provides delivery of locally grown fruits and vegetables to food desert neighborhoods in Oakland and the broader East Bay.  They also have a generous pricing model that enables them to provide free access to undercapitalized folks.,https://www.phatbeetsproduce.org,,https://twitter.com/turnipdembeets,"Mutual Aid,Community Orgs",California,Oakland
National Association of County and City Health Officials,NACCHO has created a tool to help you search for local health departments in your area. Find contact information for local health departments using the map below and check to see that your health department is listed correctly.,https://www.naccho.org/membership/lhd-directory,,,"Treatment and Prevention,Governmental Orgs",National,
Together SF,We are a group of San Franciscans connecting people and resources to soften the impact of COVID-19 on local businesses and our most vulnerable neighbors.,https://www.togethersf.org/,,https://twitter.com/WeAreTogetherSF,"Mutual Aid,Community Orgs",California,San Francisco
Berkeley Mutual Aid,The Berkeley Mutual Aid Network is a platform to help neighbors connect during the Coronavirus pandemic so that no one in our community has to face this crisis alone. ,https://www.berkeleymutualaid.org/,,,"Mutual Aid,Community Orgs",California,Berkeley
Berkeley Relief Fund,"Community coming together to support small businesses, arts nonprofits, and residential tenants during the COVID-19 pandemic. (donations are tax deductible)",https://berkeleyrelieffund.org/,,https://twitter.com/hashtag/BerkeleyReliefFund?src=hash,"Governmental Orgs,Financial Relief",California,Berkeley
